Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Jet Sosyete,Gülse BirselDerya KaradaşCengiz BozkurtSarp ApakAyşenil ŞamlıoğluÇağlar ÇorumluAslı Bekiroğluve diğerleri,59,6,Televizyon dizisi İnternet dizisi,51,"Star TV (2018, 1.sezon)TV8 (2018-2019, 2.sezon)puhutv ve Star TV (2019-2020, 3.sezon)",Gülse Birsel,3,272,BKM,Necati Akpınar,18 Şubat 2018 - 6 Mayıs 2020,Hakan Algül,Türkiye
Kızım,Buğra GülsoyLeyla Lydia TuğutluBeren Gökyıldız,34,6,Televizyon dizisi,120,TV8,Banu KiremitçiIrmak Bahçeci,1,104,Medyapım,Fatih Aksoy,19 Eylül 2018 - 31 Mayıs 2019,Gökçen Usta,Türkiye
Koca Koca Yalanlar,Hakan YılmazEvrim AlasyaSelen UçerPelin Öztekin,12,6,Televizyon dizisi,120,Kanal D,Gül Abus Semerci,1,130,Limon Film,Hayri Aslan,13 Ağustos 2018 - 30 Ekim 2018,Osman TaşcıBurcu Alptekin,Türkiye
Kocaman Ailem,Levent ÜlgenEmre KarayelÖzlem TürkadÇağla DemirNecmi YapıcıBerkay TulumbacıÇağrı ÇıtanakZeynep Gülmez,8,6,Televizyon dizisi,140,atv,Berat DenizAlper ÇağlayanŞeyda DelibaşNergis Herdem İnceArmağan Gül Şahin,1,132,Mia Yapım,Banu Akdeniz,31 Mayıs 2018 - 26 Temmuz 2018,Sadullah Şentürk,Türkiye
Masum Değiliz,Uraz KaygılaroğluDamla SönmezUshan ÇakırAras AydınSercan Badur,6,14,Televizyon dizisi,120,atv,Bekir Baran SıtkıPelin Karamehmetoğlu,1,81,Koliba Film,Ata Türkoğlu,31 Mart 2018 - 1 Ağustos 2018,Serkan İpekören,Türkiye
Mehmetçik Kut'ül Amare,Kaan Taşanerİsmail Hacıoğluİsmail Ege ŞaşmazCansu TosunÖzgü Kayaİlker AksumSerdar Gökhan,33,6,Televizyon dizisi,120,TRT 1,Mehmet Bozdağ,2,298,Bozdağ Film,Mehmet Bozdağ,18 Ocak 2018 - 31 Ocak 2019,Mustafa Şevki DoğanKamil Aydın,Türkiye
Mehmetçik Kut'ül Amare,Kaan Taşanerİsmail Hacıoğluİsmail Ege ŞaşmazCansu TosunÖzgü Kayaİlker AksumSerdar Gökhan,33,6,Televizyon dizisi,120,TRT 1,Mehmet Bozdağ,2,298,Bozdağ Film,Mehmet Bozdağ,18 Ocak 2018 - 31 Ocak 2019,Mustafa Şevki DoğanKamil Aydın,Türkiye
Mehmed: Bir Cihan Fatihi,Kenan İmirzalıoğluÇetin TekindorGürkan UygunBüşra DeveliHazal Filiz Küçükköse,6,6,Televizyon dizisi,120,Kanal D,Ercan Mehmet Erdem,1,293,O3 Medya,Onur Güvenatam,20 Mart 2018 - 1 Mayıs 2018,Cevdet Mercan,Türkiye
Muhteşem İkili,İbrahim ÇelikkolKerem BürsinÖzge GürelÖykü Karayel,12,6,Televizyon dizisi,140,Kanal D,Emre ÖzdürBaşar Başaran,1,38,TMC Film,Erol Avcı,1 Kasım 2018 - 12 Şubat 2019,Çağatay Tosun,Türkiye
Nefes Nefese,Şükrü ÖzyıldızMelisa ŞenolsunUğur Yücel,10,6,Televizyon dizisi,120,Star TV,Selin Tunç,1,108,TMC Film,Erol Avcı,1 Ağustos 2018 - 14 Ekim 2018,Aydın Bulut,Türkiye
Sen Anlat Karadeniz,Ulaş Tuna Astepeİrem HelvacıoğluMehmet Ali Nuroğlu,64,6,Televizyon dizisi,140,atv,Nehir ErdemAyşe Ferda EryılmazErkan Birgören,3,81,Sinegraf,Osman Sınav,24 Ocak 2018 - 13 Kasım 2019,Murat OnbulYusuf Ömer SınavVeli ÇelikEmre Kabakuşak,Türkiye
Servet,Bahar ŞahinYusuf Çim,4,6,Televizyon dizisi,130,Show TV,Murat Boyacıoğlu,1,81,Ortaks Yapım,Müge Turalı PakMelda Perahya YalçınMehmetcan Yüksel,12 Nisan 20183 Mayıs 2018,Emir Khalilzadeh,Türkiye
Şahin Tepesi,Zerrin TekindorEbru ÖzkanBoran KuzumAybüke PusatMurat AygenEsra DermancıoğluKaan TaşanerLeyla Tanlar,6,6,Televizyon dizisi,140,atv,Ece YörençMelek Gençoğlu,1,66,Ay Yapım,Kerem ÇatayPelin Diştaş,23 Kasım 2018 - 28 Aralık 2018,Hilal Saral,Türkiye
Şahsiyet,Haluk BilginerCansu DereMetin AkdülgerŞebnem BozokluHüseyin Avni DanyalErdal Özyağcılar,21,3,İnternet dizisi,60,Netflix,Hakan Günday,2,137,Ay Yapım,Kerem Çatay,17 Mart 2018,Onur Saylak,Türkiye
Tehlikeli Karım,Gonca VuslateriSeçkin ÖzdemirMustafa ÜstündağBige Önal,6,6,Televizyon dizisi,120,Show TV,Nalan Merter SavaşVilmer Özçınar,1,145,MF Yapım,Faruk Bayhan,25 Mart 2018 - 29 Nisan 2018,Çağrı Bayrak,Türkiye
Tozkoparan,Özgür Ege NalcıYusuf Gökhan AtalayBurak KutBurcu AltınTuana Naz TiryakiLeya KırşanYağız KılınçDeniz ErayvazAlara Kardak,55,6,Televizyon dizisi,60,TRT 1,Mustafa Burak DoğuSelin Arapkirli,3,300,Veya Yapım (1-10)Fotoroman Film Yapım (11-55),Can Özcanlı,11 Kasım 2018 - 19 Nisan 2020,Şevki Es,Türkiye
Yasak Elma,Şevval SamEda EceTalat BulutSevda ErginciOnur TunaNesrin CavadzadeGökhan AlkanBerk OktayBiran Damla YılmazMurat AygenBarış KılıçTuvana TürkayErdal ÖzyağcılarŞafak Pekdemir,177,6,Televizyon dizisi,130,FOX,Melis CivelekZeynep Gür,6,130,Medyapım,Fatih Aksoy,19 Mart 2018 - 5 Haziran 2023,Neslihan Yeşilyurt(1-74)Murat Öztürk(75-110)Ece Erdek Koçoğlu (111-177),Türkiye
Yaşamayanlar,Kerem Bürsin Birkan Sokullu Elçin Sangu Selma Ergeç,8,6,İnternet dizisi,60,Netflix,Şamil Yılmaz,1,120,Ay Yapım,Bubi FilmRan FilmBraveborn İstanbul'74,6 Eylül 201818 Ekim 2018,Alphan Eşeli,Türkiye
Yuvamdaki Düşman,Nebahat ÇehreAslı TandoğanPamir PekinEce ÇeşmioğluPelin ÖztekinPelin KarahanDoğaç Yıldız,6,6,Televizyon dizisi,120,Show TV,Rüya İşçileriBarış ErdoğanM. Cem GörgeçS. Cenk Boğaturİlker Arslan,1,81,Düş Gezginleri Film,Nilgün Sağyaşar,25 Ocak 2018 - 1 Mart 2018,Müge Uğurlar,Türkiye
7 Yüz,,7,6,İnternet dizisi,104,Netflix,Tunç ŞahinDerya YanmışMert Atalay,1,135,Bir Film,Kerem Çatay,22 Eylül 2017 - 3 Kasım 2017,Tunç ŞahinUmut AralAlphan EşeliCeylan Özgün Özçelik,Türkiye
Adı Efsane,Erdal BeşikçioğluRojda DemirerGökçe Bahadır,29,6,Televizyon dizisi,140,Kanal D,Tunus TaşçıNazlı SunluHilal Yıldız,1,68,D Productions,Müge Turalı PakElif Ayşe Durmaz,28 Ocak 2017 - 29 Ağustos 2017,Devrim Yalçın,Türkiye
Aslan Ailem,Burcu ÖzberkAkın AkınözüZerrin SümerFerdi SancarBenian DönmezHakan SalınmışCan Kolukısa,31,6,Televizyon dizisi,120,TRT 1,Ayça MutlugilHale ÇalapYaşar ArakGülşen OkumuşGülizar Vatanlar,1,133,Es Film,Yusuf EsenkalSerdar Öğretici,22 Ekim 2017 - 20 Mayıs 2018,Başak Soysal,Türkiye
Aşk-ı Roman,Solmaz ÇirosKaan Güvenilir,25,6,Televizyon dizisi,60,TV8 (HD),Hazal ÖztürkEmrah SünerNisan Hakan ÖzkanGörkem Çakın,1,74,Global Prodüksiyon,Oğuz KaraliMustafa Gülnahar,21 Ağustos 2017 - 6 Ekim 2017,Semra DündarElif BaşlamışlıAkın Kemal Uçar,Türkiye
Aşk ve Gurur,Mert FıratDamla SönmezAlper SaldıranTülin ÖzenAhmet Rıfat Şungar,6,6,Televizyon dizisi,120,"Show TV (2017) Show Max (2019, tekrar)",Yıldırım KürterSeray ŞahinerCaner YalçınYeşim Aslan,1,84,Limon Film,Hayri Aslan,5 Mart 2017 - 11 Nisan 2017,Taner Akvardar,Türkiye
Ateşböceği,Seçkin ÖzdemirNilay Deniz,17,6,Televizyon dizisi,150,Star TV,Ebru Hacıoğlu,1,65,Mia Yapım,Banu Akdeniz,29 Haziran 2017 - 25 Ekim 2017,Barış Yöş,Türkiye
Badem Şekeri,Burcu ÖzberkAlper SaldıranMehmet AtayTaner Taneri,5,6,Televizyon filmi,101,FOX,Alper Erze,1,259,ANS Productions,Abdullah OğuzMahmut KayımtuMehmet Çaykıter,3 Temmuz 2017 - 20 Aralık 2017,Aydın Bulut,Türkiye
Bahtiyar Ölmez,Yetkin Dikinciler Hande Subaşı,19,6,Televizyon dizisi,104,atv (HD),Hasan Burak Kayacı Feraye Şahin,1,194,Nehir Yapım (1-8)Baba Yapım (9-19),Muharrem Gürer,11 Kasım 2017 - 24 Mart 2018,Cem TabakUfuk Hakan ErenKartal Çidamlı,Türkiye
Bir Deli Sevda,Erkan Kolçak KöstendilCansu TosunErdinç GülenerDeniz UğurCankat AydosEsra KızıldoğanItır EsenZafer AlgözErkan Can,4,6,Televizyon dizisi,120,Show TV,Korcan DerinsuCihan Çalışkantürk,1,105,Pastel Film,Yaşar İrvül,5 Nisan 2017 - 17 Mayıs 2017,Hakan İnan,Türkiye
Bizim Hikaye,Hazal Kaya Burak Deniz Reha Özcan Yağız Can KonyalıMehmet Korhan FıratMehmetcan Mincinozlu Sahra ŞaşNejat Uygur,70,6,Televizyon dizisi,120,FOX,Hatice MeryemBanu Kiremitçi BozkurtEbru HacıoğluVerda Pars,2,197,Medyapım,Fatih Aksoy,14 Eylül 201723 Mayıs 2019,Serdar Gözelekli(1-37)Koray Kerimoğlu(38-70),Türkiye
Bu Şehir Arkandan Gelecek,Kerem BürsinLeyla Lydia TuğutluGürkan Uygun,20,6,Televizyon dizisi,150,atv,Ece YörençMelek Gençoğlu,1,114,Ay Yapım,Kerem Çatay,4 Ocak 2017 - 14 Haziran 2017,Çağrı Vila Lostuvalı,Türkiye
Çember,Pelin AkilBarış BağcıAnıl AltanSerhat KılıçOlgun TokerÖzgürcan ÇevikTuvana TürkaySerdar Orçin,19,6,Televizyon film serisi,100,Star TV (2017-2019)(11 bölüm)Kanal D (2021-2022)(8 bölüm),Başak Yazı Odası (1-11)İbrahim Altun (12 Bölüm)Evren Oğuz (12-19),3,246,ANS Productions,Abdullah Oğuz,3 Temmuz 2017 - 16 Mayıs 2022,Fulya Yavuzoğlu (1-11)Mahir Aktaş (1-11)Abdullah Oğuz (12-19),Türkiye
Çoban Yıldızı,Şükrü ÖzyıldızSelin ŞekerciSerhat ÖzcanMenderes SamancılarSelim BayraktarSinem ÜnsalÖzkan Uğur,17,6,Televizyon dizisi,120,FOX,Gülizar IrmakCoşkun Irmak,1,145,Most Production,Gül Oğuz,2 Mart 2017 - 22 Haziran 2017,Gül OğuzKader Bayraktar,Türkiye
Çocuklar Duymasın,Tamer KaradağlıPınar AltuğZeyno GünençVolkan SevercanMehmet Baran ErdoğanBuse Sinem İrenÖykü GüvenAlp Eren KhamisGülin İyigün,76,14,Televizyon dizisi,120,Kanal D,Birol Güven,2,211,MinT Motion Pictures,Birol Güven,23 Temmuz 2017 - 11 Nisan 2019,Bora Tekay,Türkiye
Çukur,Aras Bulut İynemliDilan Çiçek DenizErcan Kesal Perihan SavaşŞenay Gürler Erkan Kolçak KöstendilÖner ErkanRıza KocaoğluNecip MemiliDamla SönmezBurak SergenBerkay AteşErkan AvcıSalih KalyonNur SürerMustafa AvkıranNejat İşlerBarış ArduçMüfit Kayacan ve diğerleri,131,6,Televizyon dizisi,120,Show TV,Gökhan Horzum(1-4. sezon)Damla Serim(3-4. sezon),4,36,Ay Yapım,Kerem Çatay (1-4. sezon) Pelin Diştaş (1-2. sezon),23 Ekim 2017 - 7 Haziran 2021,Sinan Öztürk(1-4. sezon)Özgür Sevimli(2. sezon),Türkiye
Dayan Yüreğim,Mehmet KüçükEce UsluCansel ElçinNilay DenizBerk Atan,13,6,Televizyon dizisi,120,FOX,Alican Yaraş Serap Gazel,1,81,Endemol Shine Turkey,H. Hakan Eren Gökhan Tatarer,3 Şubat 2017 - 28 Nisan 2017,Deniz Çelebi Dikilibaş,Türkiye
Deli Gönül,Murat ÜnalmışTuvana TürkayAyşe Çiğdem BaturOgün Kaptanoğlu,10,6,Televizyon dizisi,130,FOX,Rahşan Çiğdem İnanBarış PirhasanSelim Demirdelen,1,81,25 Film,Fırat ParlakKoray Şahin,4 Temmuz 2017 - 4 Eylül 2017,Selim DemirdelenBerat Özdoğan,Türkiye
Dolunay,Can YamanÖzge Gürel,26,6,Televizyon dizisi,120,Star TV,Ayşen Günsu TekerFikret BeklerElif ÖzsütKerim Ceylan,1,259,No Dokuz Productions,Yağmur Ünal,4 Temmuz 2017 - 31 Aralık 2017,Çağrı Bayrak,Türkiye
Dostlar Mahallesi,Çağla ŞikelAlişanHande KatipoğluErsin KorkutZeynep Eronat,3,14,Televizyon dizisi,120,Kanal D,Resul Ertaş,1,214,Erler Film,Türker İnanoğlu,16 Aralık 2017 - 30 Aralık 2017,Ayhan Özen,Türkiye
Evlat Kokusu,Barış KılıçHande SoralMurat HanSedef AvcıYeşim SalkımNail KırmızıgülSelen Uçer,9,6,Televizyon dizisi,120,Kanal D,Endemol Shine Yazı Grubu,1,113,Endemol Shine Turkey,Gökhan TatarerH. Hakan Ergen,8 Mart 2017 - 10 Mayıs 2017,Erol ÖzleviGökçe Usta,Türkiye
Fi,Ozan GüvenSerenay SarıkayaMehmet GünsürBerrak TüzünataçBüşra DeveliTülay GünalOsman Sonant,22,6,İnternet dizisi,60,Netflix,Nükhet Bıçakçı,2,70,Ay Yapım,Kerem ÇatayPelin Diştaş Yaşaroğlu,31 Mart 2017[1] - 9 Mart 2018,Mert Baykal,Türkiye
Hayati ve Diğerleri,Celil NalçakanGünay KaracaoğluLevent ÜlgenBülent ÇolakBahtiyar Enginİbrahim SelimGökhan KıraçAybike Esin TumluerTolga DenizEdip Tepeli,6,6,Televizyon dizisi,120,Kanal D,Onur ÖzcanMurat Özsoy,1,215,1441 Productions,İrfan Şahin,19 Kasım 2017 - 17 Temmuz 2018,Metin Balekoğlu,Türkiye
İçimdeki Fırtına,Merve BoluğurYusuf ÇimGizem KaracaBurak YamantürkTarık PapuççuoğluMehmet ÖzgürHatice Aslan,6,6,Televizyon dizisi,120,Star TV (HD),Yazı'hane,1,36,Aslan Yapım,Kazım Uğur KızılaslanSelman Kızılaslan,11 Şubat 201718 Mart 2017,Doğan Ümit Karaca,Türkiye
İkisini de Sevdim,Amine GülşeBurak Serdar ŞanalOktay Gürsoy,3,14,Televizyon dizisi,120,atv,Muharrem BuharaÖzlem Atasoy,1,113,Erler Film,Türker İnanoğlu,27 Nisan 2017 - 11 Mayıs 2017,Cem Tabak,Türkiye
İsimsizler,1. Sezon Uğur Güneş Algı Eke Bülent Alkış Taner Ertürkler Sedat Mert Çağkan Çulha Volkan Keskin Musab Ekici Sera Kutlubey 2. Sezon Uğur Güneş Hande Soral Kürşat Alnıaçık Bülent Alkış Çağkan Çulha Mert Öcal Musab Ekici Osman Wöber,27,6,Televizyon dizisi,120,Kanal D,Mustafa Burak DoğuSerkan BirlikAyça MutlugilHale Çalapİki Kelime Yazı Grubu,2,239,Es FilmBarakuda Film,Yusuf EsenkalAhmet KayımtuSerdar Öğretici,27 Mart 201716 Aralık 2017,Osman Kaya (1-2)Emre Konuk (3-13)Volkan Kocatürk(14-27),Türkiye
İstanbullu Gelin,Özcan DenizAslı Enver,87,6,Televizyon dizisi,120,Star TV,Teşrik-i Mesai,3,81,O3 Medya,Onur Güvenatam,3 Mart 2017 - 31 Mayıs 2019,Zeynep GünayDeniz Akçay Katıksız,Türkiye
Kadın,Özge ÖzpirinçciCaner CindorukBennu YıldırımlarSeray KayaFeyyaz DumanŞerif ErolHümeyraGökçe EyüboğluAyça ErturanAli Semi SefilKübra Süzgün,81,6,Televizyon dizisi,120,FOX (HD),Hande Altaylı[1],3,143,MedyapımMF Yapım,Fatih AksoyFaruk Bayhan,24 Ekim 2017 - 4 Şubat 2020,"Merve Girgin Aytekin (1-2)Nadim Güç (3-81)[1]Ece Erdek Koçoğlu(2. yönetmen, 1-81)",Türkiye
Kalk Gidelim,Ufuk ÖzkanErkan SeverAyça VarlıerMehtap BayriBeyazıt Gülercan,135,6,Televizyon dizisi,150,TRT 1,Baykut Badem,4,132,Staff Film,Eyüp Üstün,18 Kasım 2017 - 31 Aralık 2020,Hatice Memiş Mustafa Şevki Doğan Tuğçe Küçükkalıpçı,Türkiye
Kanatsız Kuşlar,Melis TüzüngüçÜmit İbrahim KantarcılarAyten GökçerAhmet VarlıDeniz BolışıkFatih AlSeda TürkmenServet PandurEvren BingölGizem GüneşEmir ÖzdenEliz Neşe ÇağınSinem Karel GürtekinEmre MelemezYusuf BaymazKahraman Sivri,46,6,Televizyon dizisi,140,atv,Hakan HaksunMert MeriçliEda KarakoçPervin BozanElif BaşaranBurak Kumdakçı,1,81,Koliba Film,Ata Türkoğlu,15 Haziran 2017 - 24 Mayıs 2018,Kemal Uzun,Türkiye
Kayıtdışı,Erkan PetekkayaSongül ÖdenDolunay Soysertİsmail HacıoğluAhmet MekinBahar ŞahinSerdar OrçinRutkay Aziz,8,6,Televizyon dizisi,120,FOX,Şahin AltuğCaner Güler,1,35,Karga Seven Pictures,Özer SataTamer ÜnerKelly McphersenTracy BacalEmre ŞahinSarah Wetherbee,18 Eylül 2017 - 27 Kasım 2017,Cevdet Mercan,Türkiye
Kızlarım İçin,Fikret KuşkanTuvana TürkayElifcan OngurlarSanem YelesAhsen Eroğlu,13,6,Televizyon dizisi,120,Kanal D,Zehra YücelZülküf Yücel,1,81,Süreç Film,İnci Gündoğduİsmail Gündoğdu,28 Kasım 2017 - 28 Şubat 2018,Mesude Tekin Erarslan,Türkiye
Lise Devriyesi,Ozan DolunayBahar Şahinİsmail Ege ŞaşmazYusuf Gökhan AtalayAsena TuğalDoğan AkdoğanMehmet Çevik,11,6,Televizyon dizisi,150,TRT 1,Kerem Çatay,1,188,ARC Film,Fatih Enes Ömeroğlu,26 Mart 2017 - 18 Haziran 2017,Yahya Samancı,Türkiye
Masum,Haluk BilginerNur SürerAli AtayOkan YalabıkSerkan KeskinTülin ÖzenBartu Küçükçağlayan,8,6,İnternet dizisi,60,Netflix,Berkun Oya,1,250,D Productions,Kerem Çatay,27 Ocak 2017 - 17 Şubat 2017,Seren Yüce,Türkiye
Meryem,Furkan Andıç Ayça Ayşin Turan Cemal Toktaş,30,6,Televizyon dizisi,130,Kanal D,Meryem Gültabakİlke Gürsoy,1,113,TMC Film,Erol Avcı,2 Ağustos 2017 - 28 Şubat 2018,Barış Erçetin,Türkiye
Nerdesin Birader,Timur AcarGonca SarıyıldızHakan BilginRuhi SarıSeren Deniz YalçınDeniz Can Aktaş,4,6,Televizyon dizisi,120,FOX,Sahne 77,1,207,Film Evi Yapım,Erol DemirDilek Yorulmaz,8 Kasım 2017 - 29 Kasım 2017,Emre Kabakuşak,Türkiye
Ölene Kadar,Engin AkyürekFahriye EvcenSarp LevendoğluGülcan ArslanTansu BiçerFerdi SancarDemir KarahanDidem BalçınMesut AkustaRagıp SavaşLale MansurAvni Yalçın Zeki Eker,13,6,Televizyon dizisi,120,atv,Elif Usman Ergüden,1,113,Tims Productions,Timur Savcı,12 Ocak 2017 - 13 Nisan 2017,Umur TuragayFeride Kaytan,Türkiye
Payitaht: Abdülhamid,Bülent İnalÖzlem ConkerSaygın SoysalEzgi EyüboğluAkın AkınözüHakan BoyavSelen ÖztürkEren HacısalihoğluBahadır YenişehirlioğluVildan AtaseverErkan AvcıGürkan Uygunİsmail Hakkı Ürün,154,6,Televizyon dizisi,130,TRT 1,Osman BodurUğur UzunokAyça Mutlugil Hamza Akyıldız,5,286,Es Film,Yusuf EsenkalSerdar Öğretici,24 Şubat 2017 - 4 Haziran 2021,Serdar AkarEmre KonukDoğan Ümit Karaca[1],Türkiye
Rüya,Hazal Filiz KüçükköseCeyhun Mengiroğlu,10,6,Televizyon dizisi,150,Show TV,Ece Yörenç,1,267,Gold Film,Faruk Turgut,18 Temmuz 2017 - 24 Eylül 2017,Cemal Şan,Türkiye
Sahipli,Funda GürayBaran Akbulut,10,6,İnternet dizisi,104,Netflix,Alper Mestçi,1,190,Ay Yapım,D Productions,24 Şubat 2017 - 24 Mart 2017,Alper Mestçi,Türkiye
Savaşçı,1. sezon Berk Oktay Murat Serezli Yıldız Çağrı Atiksoy Fırat Albayram Burç Kümbetlioğlu 2. sezon Berk Oktay Murat Serezli Sarp Levendoğlu Yıldız Çağrı Atiksoy Fırat Albayram Burç Kümbetlioğlu 3-4. sezon Berk Oktay Murat Serezli Sarp Levendoğlu 5. sezon Sarp Levendoğlu Murat Serezli Tamer Karadağlı Ekin Mert Daymaz,109,6,Televizyon dizisi,120,FOX (HD),Süleyman Çobanoğlu,5,58,Limon Film,Hayri Aslan,9 Nisan 2017 - 12 Haziran 2021,Volkan Kocatürk (1-8)Hakan İnan (8)Bülent İşbilen(9-10 / 42-48)Eray Koçak(9-10 / 100-109)Murat Saraçoğlu (11-41)Günay Günaydın (42)Doğan Ümit Karaca(43-76)Osman Taşcı (77-102)Şafak Bal (77-99),Türkiye
Sevda'nın Bahçesi,Sibel CanEmre KınayBegüm KütükMehmet Bozdoğan,4,6,Televizyon dizisi,140,Kanal D,Birol GüvenMurat Aras,1,84,Gold Film,Faruk Turgut,23 Eylül 2017 - 19 Ekim 2017,Emir Khalilzadeh,Türkiye
Seven Ne Yapmaz,Yusuf ÇimSeren Şirince,11,6,Televizyon dizisi,120,atv,Bazı Filmler Yazı Grubu,1,75,MF Yapım,Faruk Bayhan,6 Eylül 201715 Kasım 2017,Bora Onur,Türkiye
Siyah Beyaz Aşk,İbrahim ÇelikkolBirce Akalay,32,6,Televizyon dizisi,120,Kanal D,Eylem CanpolatSema Ergenekon,1,113,D Productions,Lale ErenAyşe Elif Durmaz,16 Ekim 2017 - 28 Mayıs 2018,Yasin Uslu,Türkiye
Siyah İnci,Tolgahan SayışmanHande Erçel,20,6,Televizyon dizisi,140,Star TV,Berkun OyaNuran Evren Şit,1,113,Gold Film,Faruk Turgut,28 Eylül 2017 - 15 Şubat 2018,Cem KarcıBenal Tairi,Türkiye
Söz,Tolga SarıtaşAybüke PusatDeniz Baysal YurtcuSerhat KılıçSarp AkkayaNihat AltınkayaAytaç ŞaşmazMehmet ÖzgürMeriç AralBurak SevinçGörkem SevindikEren VurdemMustafa YıldıranDoğukan PolatÇağan Atakan Arslan,84,6,Televizyon dizisi,140,Star TV,Ethem ÖzışıkHakan BonomoErcan Uğur,3,59,Tims&B Productions,Timur SavcıBurak Sağyaşar,3 Nisan 201727 Mayıs 2019,Yağız Alp Akaydın,Türkiye
Şevkat Yerimdar,Özgürcan ÇevikBaşak Parlak,44,14,Televizyon dizisi,130,FOX,Erol HızarcıMeltem Çitci,1,191,Limon Film,Hayri Aslan,26 Mayıs 2017 - 30 Mart 2018,Bülent İşbilenSelin Kılıçaslan,Türkiye
Tutsak,Pamir PekinGülper ÖzdemirCaner Şahin,9,6,Televizyon dizisi,130,Kanal D,Gürkan Tanyas,1,81,1441 Prodüksiyon,İrfan Şahin,19 Eylül 2017 - 14 Kasım 2017,Serhan Şahin,Türkiye
Türk Malı,Şafak Sezer Mehmet Ali Erbil Hasibe Eren Nergis Kumbasar,8,6,Televizyon dizisi,125,Star TV (HD) (2017),Tayfun Güneyer,2,191,Süreç Film,Ali Gündoğdu,28 Mayıs 2017 - 27 Eylül 2017,Jale Atabey,Türkiye
Ufak Tefek Cinayetler,Gökçe BahadırAslıhan GürbüzBade İşçilTülin ÖzenMert Fırat,45,6,Televizyon dizisi,120,Star TV (HD),Meriç Acemi,2,256,Ay Yapım,Kerem ÇatayPelin Diştaş,24 Ekim 201711 Aralık 2018,Ali BilginDeniz Yorulmazer,Türkiye
Ver Elini Aşk,Ali İlSevda Erginci,11,6,Televizyon dizisi,140,Kanal D,Ayşe Ferda EryılmazNehir Erdem,1,262,Salacak Yapım,Ayça Aral Sarangil,7 Eylül 2017 - 3 Aralık 2017,Bora OnurDeniz YılmazHakan Eren,Türkiye
Yalaza,Sinan AlbayrakDidem Balçınİpek TuzcuoğluHasan KaçanKadir Çöpdemir,20,6,Televizyon dizisi,115,TRT 1,Hasan Kaçan,1,205,Sinegraf,Osman Sınav,16 Eylül 20175 Şubat 2018,Osman SınavMehmet Bahadır Er,Türkiye
Yeni Gelin,Jessica MayTolga Mendi,63,6,Televizyon dizisi,130,Show TV (HD),Ersoy Güler,3,208,Süreç Film,İnci Gündoğduİsmail Gündoğdu,11 Mart 2017 - 24 Kasım 2018,Ersoy GülerTülay Kocatürk,Türkiye
Yıldızlar Şahidim,Canan ErgüderMesut AkustaBerk CankatÖzge Gürel,4,6,Televizyon dizisi,120,Star TV,Yazı Odası,1,113,Süreç Film,Ali GündoğduAsena Bülbüloğlu,27 Ocak 201717 Şubat 2017,Yıldız Hülya Bilban(1-3)Serhat Çakıroğlu (4),Türkiye
Yüz Yüze,Birkan SokulluSinem KobalTaner Ölmez,2,14,Televizyon dizisi,120,Show TV (HDTV),Ethem Özışık,1,36,Tims&B,Timur SavcıBurak Sağyaşar,19 Ekim 2017 - 26 Ekim 2017,Osman Taşcı,Türkiye
46 Yok Olan,Erdal Beşikçioğlu Melis Birkan Yasemin Allen,13,6,Televizyon dizisi,60,Star TV,Ercan Mehmet Erdem,1,255,Nunova Film,Kürşat Kayaoğlu,27 Mart 2016 - 24 Haziran 2016,Serdar Akar,Türkiye
Adını Sen Koy,Erkan Meriç (1-365) Hazal Subaşı (1-365) Cenk Torun (366-397) Deniz Durmaz (366-397),397,14,Televizyon dizisi,140,"TRT 1(2016-2017, 1. sezon)Star TV(2017-2018, 2 ve 3. sezon)TV8(2018, 4. sezon)",Başak Yazı Odası,4,145,Birsel Film(1. sezon)Karamel Yapım(1-4. sezon),Sevgi Birsel(1. sezon)Nazmiye Yılmaz(1-4. sezon),19 Eylül 2016 - 13 Kasım 2018,Gül GüzelkayaAtilla CengizIrmak ÇengelFulya YavuzoğluMahir Aktaş,Türkiye
Aile İşi,Ufuk ÖzkanPelin AkilHasibe ErenGülay BaltacıSait GenayMurat AkkoyunluCan BonomoÖzgür Emre YıldırımOsman Wöber,13,6,Televizyon dizisi,120,atv,Özgür Evren HeptürkFerhat Ergün,1,211,NTC Medya,Mehmet Yiğit Alp,17 Şubat 2016 - 25 Mayıs 2016,Jale Atabey,Türkiye
Altınsoylar,Aras AydınAyça Ayşin TuranŞebnem BozokluBennu YıldırımlarBurak SevinçCihat Tamer,3,14,Televizyon dizisi,120,Kanal D,Serdar OğuzEsra Çetek YılmazerDeniz YeşilgünMelikşah AltuntaşZeynep Ocak,1,205,O3 Medya,Onur Güvenatam,5 Kasım 2016 - 19 Kasım 2016,Türkan DeryaMurat Aksu,Türkiye
Anne,Cansu DereVahide PerçinBeren Gökyıldız,33,6,Televizyon dizisi,120,Star TV,Berfu ErgenokonMerve Gür,1,104,MedyapımMF Yapım,Fatih AksoyFaruk Bayhan,25 Ekim 2016 - 20 Haziran 2017,Merve GirginNadim Güç,Türkiye
